embedder;embedder_conf;sim;sim_conf;corr_20ng;corr_genomics;corr_nyt;pvalue_20ng;pvalue_genomics;pvalue_nyt;bootstrap_20ng;bootstrap_genomics;bootstrap_nyt;corr_mean;pvalue_mean;bootstrap_mean
GensimEmbedder;{'model_path': 'glove-wiki-gigaword-300'};PerTopicFixedCosineMeanSim;{'sim_f_name': 'LINEAR'};0.831864;0.741014;0.819134;0.000000;0.000000;0.000000;0.154010;0.180309;0.131127;0.797337;0.000000;0.155149
GensimEmbedder;{'model_path': 'glove-wiki-gigaword-300'};PerTopicFixedCosineMeanSim;{'sim_f_name': 'COSINE'};0.824838;0.745020;0.754775;0.000000;0.000000;0.000000;0.156329;0.195631;0.181586;0.774878;0.000000;0.177849
GensimEmbedder;{'model_path': 'fasttext-wiki-news-subwords-300'};PerTopicFixedCosineMeanSim;{'sim_f_name': 'COSINE'};0.700946;0.670390;0.611654;0.000000;0.000000;0.000000;0.263508;0.261229;0.253510;0.660997;0.000000;0.259416
TransformersEmbedder;{'model_path': 'microsoft/mpnet-base'};PerTopicMeanSimilarity;{'sim_f_name': 'LINEAR'};0.592270;0.453505;0.733410;0.000000;0.000002;0.000000;0.316924;0.341950;0.193860;0.593061;0.000001;0.284245
GensimEmbedder;{'model_path': 'word2vec-google-news-300'};PerTopicFixedCosineMeanSim;{'sim_f_name': 'LINEAR'};0.503270;0.646789;0.623999;0.000000;0.000000;0.000000;0.311832;0.234010;0.261341;0.591353;0.000000;0.269061
GensimEmbedder;{'model_path': 'word2vec-google-news-300'};PerTopicFixedCosineMeanSim;{'sim_f_name': 'COSINE'};0.523475;0.619987;0.589263;0.000000;0.000000;0.000000;0.341866;0.259158;0.265731;0.577575;0.000000;0.288918
GensimEmbedder;{'model_path': 'fasttext-wiki-news-subwords-300'};PerTopicFixedCosineMeanSim;{'sim_f_name': 'LINEAR'};0.584980;0.580357;0.510231;0.000000;0.000000;0.000000;0.303369;0.308155;0.310295;0.558523;0.000000;0.307273
TransformersEmbedder;{'model_path': 'albert-base-v2'};PerTopicMeanSimilarity;{'sim_f_name': 'LINEAR'};0.578020;0.370186;0.520127;0.000000;0.000150;0.000000;0.293197;0.317949;0.277784;0.489444;0.000050;0.296310
TransformersEmbedder;{'model_path': 'microsoft/mpnet-base'};PerTopicMeanSimilarity;{'sim_f_name': 'COSINE'};0.369467;0.273973;0.721191;0.000155;0.005811;0.000000;0.395051;0.358140;0.197960;0.454877;0.001989;0.317050
TransformersEmbedder;{'model_path': 'albert-base-v2'};PerTopicMeanSimilarity;{'sim_f_name': 'COSINE'};0.413519;0.322232;0.623153;0.000019;0.001077;0.000000;0.394813;0.345446;0.233294;0.452968;0.000365;0.324518
TransformersEmbedder;{'model_path': 'roberta-base'};PerTopicMeanSimilarity;{'sim_f_name': 'LINEAR'};0.551192;0.011669;0.575850;0.000000;0.908269;0.000000;0.311645;0.408599;0.254722;0.379570;0.302756;0.324988
TransformersEmbedder;{'model_path': 'roberta-base'};PerTopicMeanSimilarity;{'sim_f_name': 'COSINE'};0.039755;0.099306;0.432219;0.694535;0.325606;0.000007;0.417420;0.351554;0.366640;0.190427;0.340050;0.378538
TransformersEmbedder;{'model_path': 'bert-base-uncased'};PerTopicMeanSimilarity;{'sim_f_name': 'LINEAR'};-0.207514;0.242342;-0.111386;0.038298;0.015129;0.269902;0.411818;0.353681;0.396584;-0.025519;0.107776;0.387361
TransformersEmbedder;{'model_path': 'bert-base-uncased'};PerTopicMeanSimilarity;{'sim_f_name': 'COSINE'};-0.365170;0.014377;-0.041055;0.000187;0.887104;0.685063;0.345299;0.404771;0.410993;-0.130616;0.524118;0.387021
